English,CEFR,gender,word,wordAudio,pronunciation,definition,sentenceAudio,example,sentenceTranslation,To Delete,Duplicate?
"month, moon",A1,noun,ماه,X,mâh,واحدِ زمان بین دو ماهِ پشت سر هم,X,این ماه نوامبر است.,This month is November.,,
fish,A1,noun,ماهی,X,mâhi,جانوری که در آب زندگی می‌کند,X,ماهی در آب است.,The fish is in the water.,,
frying pan,B1,noun,"ماهی‌تابه, ماهیتابه",X,mâhi-tâbe,ظرفی فلزی و دسته‌دار برای سرخ کردنِ غذا,X,کمی روغن در ماهی‌تابه بریز تا داغ شود و بعد پیازها را سرخ کن.,"Pour some oil into the frying pan until it gets hot, and then fry the onions.",,
muscle,B1,noun,ماهیچه,X,mâhiče,بافتِ بدن برای حرکت,X,بعد از ورزش، ماهیچه‌های پایم درد گرفت.,"After exercising, the muscles in my legs started to hurt.",,
fishing,A2,noun,ماهیگیری,X,mâhi-giri,گرفتنِ ماهی با قلاب,X,آخر هفته برای ماهیگیری می‌رویم.,On the weekend we go fishing.,,
unfortunately,B1,adverb,متأسفانه,X,mota'assefâne,با بدشانسی یا در موقعیتِ ناراحت‌کننده,X,متأسفانه به دلیل ترافیک، به پرواز هواپیما نرسیدم.,"Unfortunately, I missed the flight due to traffic.",,
"specialist, expert",B2,noun,متخصص,X,motaxasses,کسی با دانش و مهارتِ ویژه در یک حوزه,X,برای این موضوع بهتر است با یک متخصص صحبت کنی، نه با حدس و گمان.,"For this, it’s better to talk to a specialist rather than guess.",,
"meter, metre",A1,noun,متر,X,metr,واحدِ طول برابر با صد سانتی‌متر,X,این میز یک متر است.,This table is one meter.,,
"subway, metro, underground",A1,noun,مترو,X,metro,قطارِ زیرِ زمین در شهر,X,مترو سریع است.,The subway is fast.,,
surprised,B1,adjective,متعجب,X,mota'ajjab,وقتی کسی با دیدنِ چیزی شوکه می‌شود,X,از دیدن دوست قدیمی‌اش در خیابان بسیار متعجب شد.,He was very surprised to see his old friend on the street.,,
different,B1,adjective,متفاوت,X,motafâvet,یکسان نبودن,X,نظرِ ما دربارهٔ این موضوع متفاوت است.,Our opinion about this topic is different.,,Duplicate
example,A1,noun,مثال,X,mesâl,نمونه برای نشان دادنِ یک چیز,X,این یک مثال است.,This is an example.,,
positive,B1,adjective,مثبت,X,mosbat,خوب و امیدوارکننده,X,با اینکه خسته بودم، سعی کردم مثبت فکر کنم.,"Even though I was tired, I tried to think positively.",,
like,A2,preposition,مثل,X,mesl-e,برای نشان دادنِ شباهت,X,من قهوه را مثل چای نمی‌خورم.,I don’t drink coffee like tea.,,
wrist,B1,noun,مچ دست,X,moč-e dast,جایی که کفِ دست به ساعد وصل می‌شود,X,او وقتی داشت وزنه‌های سنگین بلند می‌کرد، ناگهان مچ دستش رگ‌به‌رگ شد.,"When he was lifting heavy weights, his wrist suddenly got sprained.",,
"protection, conservation",B2,noun,محافظت,X,mohâfezat,نگهداری و جلوگیری از آسیب,X,محافظت از جنگل یعنی جلوگیری از قطعِ غیرقانونیِ درخت‌ها.,Protecting the forest means preventing illegal tree cutting.,,
"popular, beloved, dear",B1,adjective,محبوب,X,mahbub,دوست‌داشتنی,X,این برنامه در بین دانشجوها خیلی محبوب است.,This program is very popular among students.,,
product,B1,noun,محصول,X,mahsul,چیزی که تولید می‌شود,X,این محصول کیفیت خوبی دارد و قیمتش هم مناسب است.,This product has good quality and its price is also reasonable.,,
environment,B1,noun,محیط,X,mohit,فضای اطراف,X,محیط این اتاق برای مطالعه خیلی مناسب است.,The environment of this room is very suitable for studying.,,
"natural environment, environment",B2,noun,محیط زیست,X,mohit-e zist,طبیعت و پیرامونِ زیستیِ انسان و جانوران,X,برای محیط زیست، کم کردنِ پلاستیک از خریدهای روزانه هم مهم است.,"For the environment, reducing plastic in daily shopping is also important.",,
different,B1,adjective,مختلف,X,moxtalef,یکسان نبودن,X,مردم در این شهر مختلف‌اند و از جاهای گوناگون آمده‌اند.,"People in this city are different, and they have come from various places.",,Duplicate
"especially, particularly",B1,adverb,مخصوصاً,X,maxsusan,به طورِ ویژه و بیشتر از بقیه,X,من تمام میوه‌ها را دوست دارم، مخصوصاً انار را.,"I love all fruits, especially pomegranates.",,
"hidden, secret",B1,adjective,مخفی,X,maxfi,چیزی که طوری قرار گرفته که دیده نشود,X,پلیس در پشت دیوارهای خانه یک در مخفی پیدا کرد که به یک اتاق زیرزمینی راه داشت.,The police found a hidden door behind the house walls that led to an underground room.,,
hide,B1,verb,مخفی کردن,X,maxfi kardan,گذاشتنِ یک چیز در جایی که کسی آن را نبیند,X,او سعی کرد کیف پولش را زیر صندلی ماشین مخفی کند تا دزدها آن را نبینند.,He tried to hide his wallet under the car seat so the thieves wouldn't see it.,,
pencil,A1,noun,مداد,X,medâd,چیزی برای نوشتن و پاک کردن,X,با مداد نقاشی می‌کنم.,I draw with a pencil.,,
school,A1,noun,مدرسه,X,madrase,جایی برای درس خواندن کودک‌ها,X,من به مدرسه می‌روم.,I go to school.,,
Morocco,A2,noun,مراکش,X,marâkeš,کشوری در شمالِ آفریقا,X,مراکش کشور زیبایی است.,Morocco is a beautiful country.,,
"relevant, pertinent",B2,adjective,مربوط,X,marbut,مرتبط و به موضوع وصل,X,لطفاً فقط اطلاعاتِ مربوط را بفرست تا وقت تلف نشود.,Please send only the relevant information so time isn’t wasted.,,
"clean up, tidy up",A2,verb,مرتب کردن,X,morattab kardan,مرتب و تمیز کردنِ خانه,X,بعد از شام اتاق را مرتب می‌کنم.,After dinner I tidy the room.,,
man,A1,noun,مرد,X,mard,آدمِ بزرگِ مذکر,X,آن مرد کلاه دارد.,That man has a hat.,,
manliness,C,noun,مردانگی,X,mardânegi,ویژگی‌های فرهنگیِ نسبت‌داده‌شده به مردان,X,او مردانگی را با مسئولیت‌پذیری تعریف می‌کرد، نه با نمایش قدرت و تحقیر دیگران.,"He defined manliness as taking responsibility, not showing power and humiliating others.",,
manly,B2,adjective,مردانه,X,mardâne,مربوط به مردان,X,او رفتار مردانه را با خشونت اشتباه می‌گیرد.,He confuses manly behavior with violence.,,
people,A1,noun,مردم,X,mardom,آدم‌ها در یک شهر یا کشور,X,مردم در خیابان هستند.,People are in the street.,,
democrat,C,noun,مردم‌سالار,X,mardom-sâlâr,طرفدارِ مردم‌سالاری,X,او مردم‌سالار است، اما از پوپولیسم هم می‌ترسد و مرز می‌گذارد.,"He is a democrat, but he also fears populism and draws a line.",,
democratic,C,adjective,مردم‌سالارانه,X,mardom-sâlârâne,به شیوهٔ مردم‌سالاری,X,بحثِ مردم‌سالارانه وقتی جدی است که قدرت واقعاً پاسخ‌گو بماند.,A pro-democracy discussion is serious only when power truly remains accountable.,,
democratization,C,noun,مردم‌سالارسازی,X,mardom-sâlâr-sâzi,فرایندِ مردم‌سالار کردنِ یک نظام,X,مردم‌سالارسازی بدون رسانهٔ آزاد معمولاً به شعار تبدیل می‌شود.,Democratization without a free press usually turns into a slogan.,,
democracy,B2,noun,مردم‌سالاری,X,mardom-sâlâri,نظامی که در آن مردم با رأی نقش اصلی دارند,X,مردم‌سالاری وقتی کار می‌کند که قانون برای همه یکسان باشد.,Democracy works when the law is the same for everyone.,,
anthropology,C,noun,مردم‌شناسی,X,mardom-šenâsi,دانشِ مطالعهٔ انسان و فرهنگ‌ها,X,مردم‌شناسی در میدان شکل می‌گیرد، نه فقط پشت میز و با پرسش‌نامه.,"Anthropology is formed in the field, not only behind a desk with questionnaires.",,Duplicate
die,A2,verb,مردن,X,mordan,زنده نماندن,X,هیچ‌کس دوست ندارد بمیرد.,Nobody wants to die.,,
manhood,B2,noun,مردی,X,mardi,بلوغ و جایگاه اجتماعیِ مرد بودن,X,او از مردیِ خودش حرف می‌زد، اما بیشتر دنبال تأیید دیگران بود.,"He talked about his manhood, but he was mostly looking for other people’s approval.",,
border,B1,noun,مرز,X,marz,خطِ جداکننده دو کشور,X,سربازان برای جلوگیری از ورود قاچاقچیان، از مرزهای کشور دفاع می‌کنند.,Soldiers defend the country's borders to prevent smugglers from entering.,,
thanks,A1,interjection,مرسی,X,mersi,کلمه برای تشکرِ دوستانه,X,مرسی، کمک کردی.,"Thanks, you helped.",,
"chicken, hen",A1,noun,مرغ,X,morġ,پرنده‌ای که تخم می‌گذارد و گوشت دارد,X,مرغ را در فر می‌پزم.,I bake the chicken in the oven.,,
death,A2,noun,مرگ,X,marg,پایانِ زندگی,X,مرگِ آن پیرمرد همه را ناراحت کرد.,The death of that old man made everyone sad.,,
"farm, field",A2,noun,مزرعه,X,mazra'e,جایی برای کشاورزی,X,پدربزرگم یک مزرعه دارد.,My grandfather has a farm.,,
"taste, flavor",A2,noun,مزه,X,maze,طعمِ غذا در دهان,X,این غذا مزه خوبی دارد.,This food tastes good.,,
copper,B1,noun,مس,X,mes,فلزِ سرخ‌رنگ و رسانا,X,ظروف ساخته شده از مس گرما را خیلی سریع و یکنواخت منتقل می‌کنند.,Copper utensils transfer heat very quickly and evenly.,,
match,A2,noun,مسابقه,X,mosâbeġe,بازیِ رسمی با امتیاز,X,مسابقه امروز ساعت پنج است.,The match is today at five o’clock.,,
passenger,A2,noun,مسافر,X,mosâfer,کسی که در سفر است,X,تمام مسافران هواپیما باید کمربندهای خود را ببندند.,All passengers on the plane must fasten their seat belts.,,
armed,B2,adjective,مسلح,X,mosallah,دارای سلاح,X,نیروهای مسلح وارد ساختمان شدند و همه را بیرون آوردند.,Armed forces entered the building and escorted everyone out.,,
armed,C,adjective,مسلحانه,X,mosallahâne,به شکلِ مسلح و با سلاح,X,ورود مسلحانه به اماکن عمومی، طبق قانون جرم سنگینی محسوب می‌شود.,Armed entry into public places is considered a serious crime under the law.,,
"Muslim, Muslim person",A2,noun,مسلمان,X,mosalmân,پیروِ دینِ اسلام,X,او یک مسلمان است.,He is a Muslim.,,
toothbrush,A1,noun,مسواک,X,mesvâk,وسیله‌ای برای تمیز کردن دندان,X,مسواک در حمام است.,The toothbrush is in the bathroom.,,
electric toothbrush,A2,noun,مسواک برقی,X,mesvâk-e barqi,مسواک با برق,X,من از مسواک برقی استفاده می‌کنم.,I use an electric toothbrush.,,
customer,A2,noun,مشتری,X,moštari,خریدارِ کالا یا خدمات,X,این مغازه همیشه شلوغ است و مشتری‌های زیادی دارد.,This store is always busy and has many customers.,,
"busy, occupied",A2,adjective,مشغول,X,mašġul,درگیرِ کار و وقت نداشتن,X,الان مشغولم و نمی‌توانم حرف بزنم.,I’m busy right now and I can’t talk.,,
problem,A2,noun,مشکل,X,moškel,چیزی که کار را سخت می‌کند,X,من یک مشکل دارم.,I have a problem.,,
interview,B1,noun,مصاحبه,X,mosâhebe,گفتگویِ رسمی برای شناختِ فرد,X,او برای استخدام باید در یک مصاحبه شرکت کند.,He has to attend an interview for a job.,,
stomach,B1,noun,معده,X,me'de,اندامِ هضمِ غذا,X,او بعد از خوردن غذای تند، دچار سوزش شدید در ناحیه معده شد.,He suffered from severe heartburn after eating spicy food.,,
"famous, known",A2,adjective,معروف,X,ma'ruf,شناخته شده توسط مردم,X,این رستوران خیلی معروف است.,This restaurant is very famous.,,
teacher,A1,noun,معلم,X,mo'allem,کسی که در مدرسه درس می‌دهد,X,معلم در کلاس است.,The teacher is in the class.,,
usually,A2,adverb,معمولاً,X,ma'mulan,بیشتر وقت‌ها,X,من معمولاً صبح زود بیدار می‌شوم.,I usually wake up early in the morning.,,
"shop, store",A1,noun,مغازه,X,maġâze,جایی کوچک برای خرید,,این مغازه از فروشگاه کوچک‌تر است.,,,
brain,B1,noun,مغز,X,maġz,اندامِ فکر کردن در سر,X,مغز باید استراحت کند تا بهتر کار کند.,The brain needs to rest so it can work better.,,
detailed,B2,adjective,مفصل,X,mofassal,دارای جزئیات زیاد,X,پلیس یک گزارش مفصل از حادثه نوشت، با زمان‌بندی و شاهدها.,"The police wrote a detailed report about the incident, with a timeline and witnesses.",,
"amount, quantity",A2,noun,مقدار,X,meqdâr,اندازهٔ یک چیز,X,من از مرگ می‌ترسم.,I’m afraid of death.,,
suck,B2,verb,مکیدن,X,mekidan,مکیدنِ مایع یا هوا,X,بچه عادت داشت انگشتش را می‌مکد و ترک کردنش زمان برد.,"The child used to suck his finger, and quitting it took time.",,
fly,A2,noun,مگس,X,magas,حشرهٔ کوچکِ مزاحم,X,یک مگس روی پنجره نشست.,A fly sat on the window.,,
meet,B1,verb,ملاقات کردن,X,molâqât kardan,دیدار کردن,X,فردا با دوستم در کافه ملاقات می‌کنم.,Tomorrow I am meeting my friend at a café.,,
nation,B1,noun,ملت,X,mellat,گروه مردمِ یک کشور,X,ملت ما زبان و تاریخ مشترک دارد.,Our nation has a shared language and history.,,
queen,B1,noun,ملکه,X,malake,زنِ پادشاه,X,ملکه در مراسم رسمی لباس سفید پوشیده بود.,The queen was wearing white clothes at the official ceremony.,,
national,B1,adjective,ملی,X,melli,مربوط به کشور,X,در روز ملی پرچم‌ها را در خیابان آویزان کردند.,"On the national day, they hung flags in the street.",,
nationalist,B2,noun,ملی‌گرا,X,melli-garâ,طرفدارِ برتریِ ملتِ خود,X,او ملی‌گراست و همیشه از اولویتِ ملت حرف می‌زند.,He is a nationalist and always talks about the priority of the nation.,,
nationalism,C,noun,ملی‌گرایی,X,melli-garâyi,باور به برتریِ ملت و هویت ملی,X,ملی‌گرایی وقتی به معیارِ شهروندی تبدیل شود، اختلاف را طبیعی و بی‌اعتمادی را دائمی می‌کند.,"When nationalism becomes a standard of citizenship, it makes division seem natural and distrust permanent.",,
possible,B1,adjective,ممکن,X,momken,شدنی,X,اگر وقت داشته باشیم، انجامش ممکن است.,"If we have time, doing it is possible.",,
I,A1,pronoun,من,X,man,ضمیر برای خودت,X,من اینجا هستم.,I am here.,,
"source, spring",B1,noun,منبع,X,manba',جایی که چیزی از آن می‌آید,X,منبع این خبر یک روزنامه معتبر است.,The source of this news is a reputable newspaper.,,
origin,B2,noun,منشأ,X,manša',جایی که چیزی از آن آغاز می‌شود,X,منشأ این شایعه معلوم نیست، چون هر کس آن را از دیگری شنیده است.,"The origin of this rumor is not known, because everyone heard it from someone else.",,
menu,A1,noun,منو,X,menu,کاغذِ غذا در رستوران,X,منو را به من بده.,Give me the menu.,,
May,A1,noun,مه,X,me,ماهِ پنجمِ سالِ میلادی,X,مه ماهِ پنج است.,May is the fifth month.,,
"immigrant, migrant",B1,noun,مهاجر,X,mohâjer,کسی که به کشور دیگر می‌رود,X,بسیاری از مهاجران برای پیدا کردن کار بهتر به اروپا سفر می‌کنند.,Many immigrants travel to Europe to find better jobs.,,
moonlight,B1,noun,مهتاب,X,mahtâb,نورِ ماه در شب,X,شبِ مهتابی بود و خیابان‌ها روشن‌تر از معمول به نظر می‌رسید.,"It was a moonlit night, and the streets looked brighter than usual.",,
"nice, kind",A1,adjective,مهربان,X,mehrabân,خوش‌رفتار و کمک‌کننده,X,او خیلی مهربان است.,He's very nice.,,
important,A2,adjective,مهم,X,mohemm,با اهمیت و لازم,X,این موضوع خیلی مهم است.,This topic is very important.,,
hair,A1,noun,مو,X,mu,چیزی روی سر که رشد می‌کند,X,موهای من بلند نیست.,My hair is not long.,,
careful,A2,adjective,مواظب,X,movâzeb,با دقت و احتیاط,X,مواظب باش، زمین خیس است.,"Be careful, the ground is wet.",,
"motor, engine",B1,noun,موتور,X,motor,دستگاهِ تولید حرکت,X,لرزش شدید ماشین نشان‌دهنده وجود یک مشکل فنی در موتور است.,The machine's severe vibration indicates a mechanical problem with the engine.,,
wave,B1,noun,موج,X,mowj,لرزش و بالا آمدنِ آب بر روی سطحِ دریا,X,موجهای بزرگی که به ساحل برخورد می‌کردند، تمام قلعه‌های شنی بچه‌ها را خراب کردند.,The big waves hitting the shore destroyed all the children's sandcastles.,,
banana,A1,noun,موز,X,mowz,میوهٔ زرد و بلند,X,موز زرد است.,The banana is yellow.,,
museum,A1,noun,موزه,X,muze,جایی برای دیدن چیزهای قدیمی,X,موزه در شهر است.,The museum is in the city.,,
"mouse, computer mouse",A2,noun,موس,X,mows,وسیله‌ی کنترلِ کامپیوتر,X,برای باز کردن فایل، روی آن با موس دو بار کلیک کنید.,Double-click on the file to open it.,,
music,A1,noun,موسیقی,X,musiġi,صداهایی که می‌شنوی و دوست داری,X,موسیقی آرام است.,The music is calm.,,
"mouse, rat",A1,noun,موش,X,muš,حیوانی کوچک و موذی,X,گربه به دنبال یک موش کوچک می‌دود.,The cat is running after a little mouse.,,
"topic, subject, theme",B1,noun,موضوع,X,mowzu',چیزی که درباره‌اش حرف می‌زنیم,X,موضوع جلسه دربارهٔ برنامهٔ سفر بود.,The topic of the meeting was the travel plan.,,
"successful, prosperous",B1,adjective,موفق,X,movaffaġ,کسی که در رسیدن به اهدافش پیروز شده است,X,او یک تاجر بسیار موفق است که توانسته در عرض پنج سال ده شعبه جدید افتتاح کند.,He is a very successful businessman who has managed to open ten new branches within five years.,,
success,B1,noun,موفقیت,X,movaffaġiyat,به دست آوردنِ نتیجه‌ی خوب در یک کار,X,برای رسیدن به موفقیت، شما نیاز به تلاش مداوم، صبر و برنامه‌ریزی دقیق دارید.,"To achieve success, you need constant effort, patience, and precise planning.",,
"middle, center, centre",B2,noun,میان,X,miyân,فاصله‌ی بینِ دو چیز یا مرکز,X,داور برای شروع نبرد، دقیقاً در میان دو مبارز ایستاد.,The referee stood exactly between the two combatants to start the fight.,,
nail,A2,noun,میخ,X,mix,فلزِ تیز برای اتصال چوب,X,من برای نصب کردن تابلو روی دیوار به یک میخ نیاز دارم.,I need a nail to hang a picture on the wall.,,
"square, city square",A2,noun,میدان,X,meydân,بخشِ باز و مرکزی در میانِ خیابان‌ها,X,مجسمه بزرگ شهر در مرکز این میدان است.,The big statue of the city is in the center of this square.,,
"table, desk",A1,noun,میز,X,miz,چیزی برای گذاشتن کتاب و غذا,X,کتاب روی میز است.,The book is on the table.,,
fruit,A1,noun,میوه,X,mive,خوراکیِ شیرین از درخت,X,میوه برای بچه خوب است.,Fruit is good for children.,,
"fruit seller, fruit-seller, fruitmonger",A2,noun,میوه‌فروش,X,mêve-forôš,کسی که میوه می‌فروشد,X,میوه‌فروش نزدیک مدرسه است.,The fruit seller is near the school.,,
hopeless,B2,adjective,ناامید,X,nâomid,بی‌امید,X,بعد از چند بار شکست، ناامید شد و دیگر تلاش نکرد.,"After failing a few times, he became hopeless and stopped trying.",,
inequality,B2,noun,نابرابری,X,nâbarâbari,نبودِ برابری,X,نابرابریِ درآمدی در بعضی شهرها خیلی واضح است.,Income inequality is very obvious in some cities.,,
"upset, uncomfortable, sad",A2,adjective,ناراحت,X,nârâhat,کسی که حسِ آرامش یا شادی ندارد,X,کفش‌هایم تنگ است و پاهایم را ناراحت می‌کند.,My shoes are tight and make my feet uncomfortable.,,
orange,A1,adjective,نارنجی,X,nârenji,دارای رنگِ پرتقال,X,این پرتقال نارنجی است.,This orange is orange-colored.,,
thin,A2,adjective,نازک,X,nâzok,چیزی که کلفتی و قطرِ آن بسیار کم است,X,یخ روی دریاچه خیلی نازک است، پس روی آن راه نرو.,"The ice on the lake is very thin, so do not walk on it.",,
"imperfect, incomplete",C,adjective,ناکامل,X,nâkâmel,کامل نبودن,X,به دلیل داده‌های ناقص، گزارش نهایی ناکامل بود و نتیجه‌گیری قابل اعتماد نبود.,"Because of incomplete data, the final report was incomplete and the conclusion was not reliable.",,
name,A1,noun,نام,X,nâm,چیزی که به یک نفر می‌گویند,X,نام من اندرو است.,My name is Andrew.,,
"last name, family name, surname",A2,noun,نام خانوادگی,X,nâm-e xânevâdegi,نامِ دومِ خانواده,X,نام خانوادگیِ شما چیست؟,What is your last name?,,
"candidate, finace, fiancee, nominee",B1,noun,نامزد,X,nâmzad,کسی که برای یک سمت انتخاب می‌شود,X,او نامزد انتخابات شد و در شهر سخنرانی کرد.,He became a candidate in the election and gave a speech in the city.,,
"candidacy, engagement",B2,noun,نامزدی,X,nâmzadi,فرایندِ نامزد شدن برای ازدواج یا انتخابات,X,نامزدیِ او رسمی شد و خانواده‌ها تاریخِ مراسم را تعیین کردند.,His engagement became official and the families set the ceremony date.,,
"letter, book",A2,noun,نامه,X,nâme,متنِ فرستاده شده به کسی,X,من یک نامه برای مادرم نوشتم.,I wrote a letter to my mother.,,
"call, name, nominate",B2,verb,نامیدن,X,nâmidan,اسم گذاشتن یا عنوان دادن,X,در زبان فارسی، بعضی‌ها تهران را پایتخت می‌نامند، نه فقط یک شهر بزرگ.,"In Persian, some people call Tehran the capital, not just a big city.",,
bread,A1,noun,نان,X,nân,خوراکی از آرد که می‌پزند,X,نان تازه است.,The bread is fresh.,,
toast,A2,noun,نان تست,X,nân-e tost,نانِ برشته,X,صبح‌ها نان تست می‌خورم.,In the mornings I eat toast.,,
baker,B1,noun,نانوا,X,nânvâ,کسی که نان می‌پزد,X,نانوا صبح زود نان تازه می‌پزد.,The baker bakes fresh bread early in the morning.,,
bakery,B1,noun,نانوایی,X,nânvâyi,جایی برای پختن و فروشِ نان,X,این نانوایی نان گرم و شیرینی تازه دارد.,This bakery has warm bread and fresh pastries.,,
lunch,A1,noun,ناهار,X,nâhâr,غذای وسطِ روز,X,من ناهار می‌خورم.,I eat lunch.,,
"result, outcome",B1,noun,نتیجه,X,natije,آنچه در پایانِ یک عمل به دست می‌آید,X,نتیجه آزمایش پزشکی او کاملاً امیدوارکننده بود.,The result of his medical test was quite promising.,,
"thread, string",B1,noun,نخ,X,nax,رشته‌ی باریک خیاطی,X,خیاط نخ را از سوراخ سوزن عبور داد تا دوختن را شروع کند.,The seamstress threaded the thread through the eye of the needle to start sewing.,,
elite,B2,noun,نخبه,X,noxbe,گروه برترِ علمی یا اجتماعی,X,نخبه‌ها معمولاً نقش مهمی در دانشگاه و پژوهش دارند.,Elites usually play an important role in universities and research.,,
elitist,C,noun,نخبه‌گرا,X,noxbe-garâ,طرفدارِ برتریِ نخبه‌ها,X,نخبه‌گراها معمولاً شایستگی را معیار می‌دانند، اما از نابرابریِ فرصت غافل می‌مانند.,"Elitists usually consider merit the standard, but they ignore unequal opportunity.",,
elitism,C,noun,نخبه‌گرایی,X,noxbe-garâyi,باور به برتریِ نخبه‌ها در تصمیم‌گیری,X,نخبه‌گرایی وقتی خطرناک می‌شود که «حق تصمیم» را ارثی فرض کند.,Elitism becomes dangerous when it assumes the “right to decide” is inherited.,,
"ladder, staircase",A2,noun,نردبان,X,nardebân,وسیله‌ای برای بالا رفتن,X,او برای رنگ کردن سقف از یک نردبان بلند بالا رفت.,He climbed a long ladder to paint the ceiling.,,
soft,A2,adjective,نرم,X,narm,نه سفت و راحت برای دست,X,این بالش خیلی نرم است.,This pillow is very soft.,,
software,B1,noun,نرم‌افزار,X,narm-afzâr,برنامه‌های کامپیوتری,X,برای این کار به یک نرم‌افزار ساده نیاز داریم.,For this task we need simple software.,,
Norway,A1,noun,نروژ,X,norvež,کشوری در شمالِ اروپا,X,نروژ در اروپا است.,Norway is in Europe.,,
Norwegian,A2,adjective,نروژی,X,norveži,مربوط به نروژ,X,او زبان نروژی را خوب حرف می‌زند.,He speaks Norwegian well.,,
"near, close to",A1,preposition,نزدیک,X,nazdik,حرف اضافه برای فاصلهٔ کم,X,مدرسه نزدیکِ خانه است.,The school is near the house.,,
"sign, mark",A2,noun,نشان,X,nešân,علامتی که برای راهنمایی یا شناسایی به کار می‌رود,X,این تابلوی قرمز یک نشان است که جاده در حال تعمیر است.,This red sign is a mark that the road is under repair.,,
show,A2,verb,نشان دادن,X,nešân dâdan,نمایان کردنِ چیزی برای این که دیگران آن را ببینند,X,او عکس‌های سفرش به شمال را به من نشان داد.,He showed me the photos of his trip to the north.,,
"sit, sit down",A2,verb,نشستن,X,nešastan,روی صندلی قرار گرفتن,X,لطفاً بنشین.,Please sit down.,,
painter,A2,noun,نقاش,X,naġġâš,کسی که تصویر می‌کشد,X,این نقاش در این شهر معروف است.,This painter is famous in this city.,,
"painting, drawing",A2,noun,نقاشی,X,naqqâši,کارِ کشیدنِ تصویر,X,این نقاشی را خودم کشیدم.,I drew this painting myself.,,
cash,A2,noun,نقد,X,naqd,پولِ فیزیکی و کاغذی,X,من کارت ندارم؛ آیا می‌توانم هزینه را به صورت نقد پرداخت کنم؟,I don't have a card; can I pay in cash?,,
silver,A2,noun,نقره,X,noġre,فلزی گران‌بها، درخشان و سفیدرنگ,X,این قاشق‌های قدیمی از جنس نقره هستند و کدر شده‌اند.,These old spoons are made of silver and have become tarnished.,,
silver,A2,adjective,نقره‌ای,X,noġre-i,رنگی براق و خاکستری، شبیه به فلزِ نقره,X,او یک ماشین نقره‌ای رنگ خرید که زیر نور می‌درخشد.,He bought a silver-colored car that shines under the light.,,
"map, plan, model",A2,noun,نقشه,X,naġše,تصویرِ راه یا شهر,X,بدون نقشه راه را پیدا نکردم.,Without a map I did not find the way.,,
"look, watch",A1,verb,نگاه کردن,X,negâh kardan,معطوف کردنِ چشم به چیزی برای دیدنِ آن,X,من به تو نگاه می‌کنم.,I am looking at you.,,
"worried, anxious",B1,adjective,نگران,X,negarân,کسی که فکرش به خاطرِ اتفاقی آرام نیست,X,مادر به خاطر بیماری فرزندش خیلی نگران بود.,The mother was very worried about her child's illness.,,
"hold, keep, stop",A2,verb,نگه داشتن,X,negah dâštan,نگذاشتنِ چیزی بیفتد,X,لطفاً در را نگه دار.,Please hold the door.,,
"show, exposition, display, exhibition",B1,noun,نمایش,X,namâyeš,تئاتر یا عرضه عمومی,X,بلیت‌های نمایش تئاتر امشب به طور کامل فروخته شده است.,Tickets for tonight's theater show are sold out.,,
"monitor, computer monitor",A2,noun,نمایشگر,X,namâyešgar,صفحه خروجی تصویر,X,تصویر در این نمایشگر جدید بسیار واضح و شفاف است.,The image on this new monitor is very clear and crisp.,,
salt,A1,noun,نمک,X,namak,چیزی سفید برای مزهٔ غذا,X,نمک را روی غذا می‌ریزم.,I put salt on the food.,,
show,B2,verb,نمودن,X,namudan,نشان دادن و آشکار کردن,X,تحقیقات جدید به وضوح می‌نماید که ورزش منظم بر سلامت روان تاثیر مستقیم دارد.,New research clearly shows that regular exercise has a direct impact on mental health.,,
nine,A1,numeral,نه,X,noh,عدد ۹,X,نه یعنی سه و سه و سه.,Nine means three and three and three.,,
"no, not",A1,adverb,نه,X,na,کلمه برای رد کردن,X,نه، ممنون.,"No, thanks.",,
ninth,A2,adjective,نهم,X,nohom,بعد از هشتم,X,امروز روز نهم ماه است.,Today is the ninth day of the month.,,
nova,C,noun,نواختر,X,now-axtar,ستاره‌ای که برای مدتی کوتاه بسیار درخشان می‌شود,X,نواختر برای مدتی کوتاه درخشان می‌شود و بعد آرام می‌گیرد.,A nova shines brightly for a short time and then calms down.,,
November,A1,noun,نوامبر,X,novâmbr,ماهِ یازدهمِ سالِ میلادی,X,نوامبر ماهِ یازده است.,November is the eleventh month.,,
ninety,A1,numeral,نود,X,navad,عدد ۹۰,X,نود یعنی نه تا ده.,Ninety means nine tens.,,
light,A2,noun,نور,X,nur,روشناییِ دیدن,X,نورِ اتاق کم است.,The room doesn’t have much light.,,
"Nowruz, Persian New Year",A2,noun,نوروز,X,nowruz,جشنِ آغازِ بهار,X,نوروز را با خانواده جشن می‌گیرم.,I celebrate Nowruz with my family.,,
"baby, newborn",A2,noun,نوزاد,X,nowzâd,بچهٔ تازه به دنیا آمده,X,نوزاد خیلی کوچک است.,The baby is very small.,,
soda,A1,noun,نوشابه,X,nušâbe,نوشیدنی شیرین و گازدار,X,من نوشابه می‌نوشم.,I drink soda.,,
write,A1,verb,نوشتن,X,neveštan,گذاشتنِ حرف‌ها روی کاغذ,X,من اسمم را روی کاغذ می‌نویسم.,I write my name on paper.,,
drink,A1,verb,نوشیدن,X,nušidan,گذاشتنِ مایع در دهان و بلعیدن,X,من آب می‌نوشم.,I drink water.,,
